GEOID,all_ppl_race,B02001_001M,B02001_002E,B02001_002M,black,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B02001_009E,B02001_009M,B02001_010E,B02001_010M
"48453037200",6481,779,4987,736,280,252,0,21,319,240,0,21,210,151,685,332,323,198,362,245
"48453037300",3174,494,2801,549,0,15,0,15,0,15,0,15,0,15,373,204,245,199,128,82
"48453037400",4134,585,3634,633,140,146,0,15,20,33,0,15,73,79,267,253,226,239,41,70
"48453037500",1555,190,1371,183,21,32,0,15,34,31,11,20,23,37,95,89,19,21,76,87
"48453037600",3863,384,3413,369,31,49,47,46,32,27,0,15,134,82,206,122,151,108,55,46
"48453040000",5994,939,2818,759,1026,486,259,233,723,424,68,106,327,197,773,475,609,469,164,126
"48453040100",4505,1132,2034,486,246,167,105,171,95,73,0,15,932,556,1093,1042,1031,1044,62,62
"48453040200",3258,571,1409,513,1262,493,96,145,21,33,17,28,142,121,311,235,311,235,0,15
"48453040300",6670,911,3280,634,932,598,141,175,567,409,0,21,1148,597,602,365,485,331,117,108
"48453040400",3716,341,2775,362,310,203,0,15,150,180,0,15,122,97,359,202,250,165,109,105
"48453040500",6523,1677,3205,702,420,548,0,21,210,188,0,21,1321,789,1367,1273,1235,1310,132,95
"48453040600",3516,645,1690,406,318,258,51,57,0,15,0,15,748,509,709,374,654,378,55,59
"48453040700",7096,1286,3928,1174,381,351,74,118,124,120,0,21,1625,928,964,717,858,718,106,104
"48453040800",5406,953,2843,790,166,126,223,188,127,90,0,21,1618,624,429,190,293,166,136,78
"48453040900",6507,1271,3700,909,850,475,180,266,142,153,13,24,858,489,764,466,489,422,275,240
"48453041000",7138,1217,3021,1039,1370,513,0,21,586,602,0,21,1669,936,492,460,280,406,212,226
"48453041100",1564,166,1128,161,152,100,0,15,101,81,0,15,38,33,145,74,48,31,97,68
"48453041200",3108,400,1759,257,331,178,24,31,453,219,0,15,273,241,268,147,162,94,106,114
"48453041300",4393,548,3202,390,307,263,0,15,228,126,0,15,32,34,624,315,502,306,122,73
"48453041400",2838,491,2322,541,86,77,33,50,133,87,0,15,26,30,238,124,128,81,110,94
"48453041500",3107,590,1639,316,876,493,23,35,9,14,0,15,418,309,142,121,99,112,43,67
"48453041600",8459,1037,5067,1153,896,387,855,845,315,226,0,21,870,654,456,321,384,307,72,87
"48453041700",2666,495,1345,212,357,224,132,178,148,84,0,15,104,94,580,308,152,89,428,303
"48453041800",3947,506,2509,321,542,319,0,15,201,137,0,15,329,372,366,167,155,134,211,101
"48453041900",3283,547,2195,407,69,60,0,15,288,260,9,15,189,212,533,292,427,275,106,96
"48453042000",2681,314,2068,301,44,67,7,12,340,120,0,15,33,42,189,110,110,88,79,49
"48453042100",4956,633,2266,447,1053,580,64,103,640,298,0,15,271,178,662,330,349,297,313,168
"48453042200",3941,686,2255,417,210,154,129,182,835,659,0,15,292,254,220,211,168,198,52,61
"48453042300",3858,898,2198,413,357,278,27,42,200,144,0,15,51,66,1025,805,746,803,279,131
"48453042400",11382,1274,5935,930,2266,904,149,199,1531,440,0,23,421,242,1080,459,630,349,450,317
"48453042500",7105,933,3626,643,1084,802,43,61,928,396,0,21,323,205,1101,378,730,357,371,170
"48453042600",3742,473,2483,493,577,255,18,30,59,50,0,15,347,198,258,177,198,166,60,60
"48453042700",4984,752,3206,774,445,159,0,15,173,135,0,15,188,121,972,419,696,432,276,172
"48453042800",8274,1532,4599,1539,1900,609,0,21,540,235,0,21,504,265,731,240,336,171,395,175
"48453042900",3241,569,1417,454,994,459,67,96,386,256,0,15,159,108,218,164,115,136,103,85
"48453043000",3481,401,1882,295,504,217,14,22,266,155,0,15,342,257,473,216,334,183,139,110
"48453043100",2307,452,1242,486,107,158,3,16,87,91,0,15,681,303,187,106,18,31,169,98
"48453043200",3350,839,2009,545,651,286,131,210,95,109,0,15,131,141,333,347,216,318,117,144
"48453043300",4086,1105,1764,981,517,224,165,161,47,55,0,15,903,590,690,607,386,508,304,321
"48453043400",5355,1256,2088,745,568,455,641,479,45,59,0,21,692,549,1321,931,1134,903,187,168
"48453043500",7129,935,3394,661,928,550,95,151,1728,618,0,21,0,21,984,934,743,906,241,158
"48453043600",4599,1309,1893,357,990,740,0,15,134,109,0,15,1502,1250,80,86,35,46,45,72
"48453043700",2537,588,1434,441,268,279,0,15,555,393,0,15,184,174,96,83,96,83,0,15
"48453043800",3644,1214,1854,470,545,240,0,15,50,43,0,15,927,1169,268,151,250,153,18,26
"48453043900",7551,1045,2294,594,2038,608,81,95,1529,516,0,21,1072,501,537,315,321,277,216,142
"48453044000",5366,1211,2986,1535,1079,1087,0,21,131,108,0,21,472,544,698,735,94,99,604,730
"48453044100",2852,265,1350,349,88,168,0,15,415,299,44,64,608,335,347,228,277,222,70,72
"48453044200",5684,1089,1812,497,1445,815,0,21,467,228,0,21,589,420,1371,837,712,465,659,711
"48453044300",6896,1315,3510,1065,1148,965,0,21,499,338,0,21,505,437,1234,889,1106,879,128,193
"48453044400",5946,824,3423,988,569,401,0,21,545,193,0,21,371,309,1038,635,591,510,447,380
"48453044500",5274,1559,1601,277,1935,1410,26,40,664,840,0,21,790,250,258,253,99,116,159,220
"48453044600",4334,919,1523,449,1513,655,0,15,747,296,0,15,226,240,325,319,292,318,33,46
"48453044700",1969,571,1490,630,102,175,35,54,0,15,0,15,196,294,146,177,51,79,95,144
"48453044800",4206,719,1785,547,174,146,272,405,298,424,0,15,1394,688,283,341,283,341,0,15
"48453044900",10977,1649,5370,1294,784,569,24,44,1273,593,0,23,2576,1254,950,809,820,792,130,145
"48453045000",2437,535,711,313,536,383,92,161,273,146,0,15,289,280,536,293,404,270,132,111
"48453045100",3250,1272,2336,1255,503,259,10,16,220,130,0,15,20,34,161,129,81,103,80,75
"48453045200",3930,581,1961,402,408,265,0,15,684,529,0,15,251,181,626,307,374,296,252,157
"48453045300",4108,658,2466,537,286,354,0,15,853,631,0,15,90,107,413,356,303,332,110,139
"48453045400",6281,941,3647,636,831,395,0,21,1134,535,0,21,0,21,669,562,450,535,219,210
"48453045500",4594,1939,3221,1707,995,906,25,37,92,113,0,15,29,49,232,174,207,161,25,45
"48453045600",5088,604,2933,632,478,274,0,21,1014,414,0,21,260,255,403,202,219,147,184,137
"48453045700",3361,679,2079,511,346,294,67,79,292,310,0,15,116,132,461,389,347,336,114,171
"48453045800",4391,2349,2808,2265,146,81,226,307,48,80,0,15,737,601,426,269,218,190,208,161
"48453045900",13357,1575,5918,2324,2137,691,359,402,500,411,23,38,2700,1023,1720,862,1303,841,417,241
"48453046000",4823,834,2421,802,1328,591,305,409,306,326,0,15,0,15,463,500,143,231,320,460
"48453046100",5573,712,2870,846,1079,593,0,21,448,261,0,21,163,169,1013,585,776,537,237,212
"48453046200",7100,953,3970,1041,1002,180,0,21,849,340,0,21,298,263,981,538,616,484,365,250
"48453046300",1936,629,1154,304,226,220,6,10,100,122,0,15,406,633,44,67,0,15,44,67
"48453046400",3248,484,1821,363,161,242,0,15,311,186,0,15,264,210,691,486,603,487,88,70
"48453046500",3455,604,1846,437,507,376,51,82,295,286,0,15,41,82,715,447,477,429,238,177
"48453046600",11233,4217,3263,811,694,497,0,23,319,139,0,23,144,99,6813,3889,6373,3786,440,454
"48453046700",3572,428,1982,640,735,533,0,15,202,247,0,15,24,42,629,275,460,296,169,197
"48453046800",11450,1365,6818,1377,1262,771,146,222,1077,556,0,23,1137,775,1010,667,827,648,183,169
"48453046900",8199,1001,4234,943,1541,773,0,21,624,429,0,21,746,634,1054,474,713,419,341,239
"48453047000",1455,188,1066,252,188,243,0,15,0,15,17,28,40,38,144,240,17,38,127,236
"48453980000",0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
